volume,united_states_savings_inflation_securities,total_interest-bearing_debt,foreign_series,total_marketable,treasury_bills,government_account_series_inflation_securities,weighted_sentiment,special_purpose_vehicle,treasury_floating_rate_notes_(frn),treasury_bonds,treasury_inflation-protected_securities_(tips),price_direction
Low,VeryLow,Medium,0,High,Low,High,High,VeryLow,VeryLow,High,High,Up
Medium,VeryLow,High,0,High,Low,High,VeryLow,VeryLow,VeryLow,High,High,Up
High,VeryLow,High,0,High,Low,High,Medium,VeryLow,VeryLow,High,High,Down
Medium,VeryLow,High,0,High,Low,High,Medium,VeryLow,VeryLow,High,High,Up
High,VeryLow,High,0,High,Low,High,VeryLow,VeryLow,VeryLow,High,High,Up
VeryLow,VeryLow,High,0,High,Low,High,Medium,VeryLow,VeryLow,High,High,Down
Medium,VeryLow,High,0,High,Low,High,Medium,VeryLow,VeryLow,High,High,Down
VeryHigh,VeryLow,High,0,High,Low,High,Low,VeryLow,VeryLow,High,High,Up
High,VeryLow,High,0,High,Low,High,Low,VeryLow,VeryLow,High,High,Down
VeryHigh,VeryLow,High,0,High,Low,High,VeryLow,VeryLow,VeryLow,High,High,Up
Medium,VeryLow,High,0,High,Low,High,Low,VeryLow,VeryLow,High,High,Down
Medium,VeryLow,High,0,High,Low,High,VeryHigh,VeryLow,VeryLow,High,High,Up
VeryLow,VeryLow,High,0,High,Low,High,High,VeryLow,VeryLow,High,High,Up
VeryLow,VeryLow,High,0,High,Low,High,High,VeryLow,VeryLow,High,High,Down
Low,VeryLow,High,0,High,Low,High,Medium,VeryLow,VeryLow,High,High,Up
Low,VeryLow,High,0,High,Low,High,VeryHigh,VeryLow,VeryLow,High,High,Down
Low,VeryLow,High,0,High,Low,High,Medium,VeryLow,VeryLow,High,High,Up
Low,VeryLow,High,0,High,Low,High,Low,VeryLow,VeryLow,High,High,Up
VeryLow,VeryLow,High,0,High,Low,High,High,VeryLow,VeryLow,High,High,Down
VeryLow,VeryLow,High,0,High,Low,High,Medium,VeryLow,VeryLow,High,High,Up
VeryLow,VeryLow,High,0,High,Low,High,VeryHigh,VeryLow,VeryLow,High,High,Up
High,VeryLow,High,0,High,Low,High,High,VeryLow,VeryLow,High,High,Up
VeryHigh,VeryLow,High,0,High,Low,High,High,VeryLow,VeryLow,High,High,Up
High,VeryLow,High,0,High,Low,High,Medium,VeryLow,VeryLow,High,High,Up
Medium,VeryLow,High,0,High,Low,High,VeryHigh,VeryLow,VeryLow,High,High,Up
High,VeryLow,High,0,High,Low,High,High,VeryLow,VeryLow,High,High,Up
VeryLow,VeryLow,High,0,High,Low,High,VeryHigh,VeryLow,VeryLow,High,High,Down
VeryLow,VeryLow,High,0,High,Low,High,VeryLow,VeryLow,VeryLow,High,High,Down
Low,VeryLow,High,0,High,Low,High,VeryHigh,VeryLow,VeryLow,High,High,Up
Low,VeryLow,High,0,High,Low,High,VeryHigh,VeryLow,VeryLow,High,High,Down
Low,VeryLow,High,0,High,Low,High,High,VeryLow,VeryLow,High,High,Down
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,High,VeryLow,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,Low,VeryHigh,Medium,VeryLow,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,Low,VeryLow,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Up
High,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,Low,VeryHigh,Low,VeryLow,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,High,VeryLow,Low,VeryHigh,VeryHigh,Down
Medium,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Down
Medium,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,Medium,VeryLow,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,Medium,VeryLow,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,Low,VeryHigh,Medium,VeryLow,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,Low,VeryHigh,Low,VeryLow,Low,VeryHigh,VeryHigh,Up
Medium,VeryLow,High,0,High,Low,VeryHigh,High,VeryLow,Low,VeryHigh,VeryHigh,Down
Medium,VeryLow,High,0,High,Low,VeryHigh,Low,VeryLow,Low,VeryHigh,VeryHigh,Up
VeryHigh,VeryLow,High,0,High,Low,VeryHigh,High,VeryLow,Low,VeryHigh,VeryHigh,Up
Medium,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Up
Medium,VeryLow,High,0,High,Low,VeryHigh,High,VeryLow,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,Low,VeryHigh,VeryLow,VeryLow,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,High,VeryLow,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,High,VeryLow,Low,VeryHigh,VeryHigh,Up
Medium,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Down
Medium,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,VeryLow,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,Low,VeryHigh,Low,VeryLow,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,Low,VeryHigh,VeryLow,VeryLow,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,VeryLow,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,VeryLow,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
Medium,VeryLow,High,0,High,Low,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
Medium,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,Medium,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,Medium,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,Medium,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,Low,VeryHigh,Low,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,Low,VeryHigh,Low,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,Low,VeryHigh,Low,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,Low,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,Low,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,Low,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
Medium,VeryLow,High,0,High,Low,VeryHigh,Low,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,Low,VeryHigh,Medium,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
High,VeryLow,High,0,High,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Medium,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
High,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryHigh,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Medium,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Medium,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryHigh,VeryLow,High,0,High,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,High,0,High,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,VeryLow,High,0,High,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,High,0,High,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Medium,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Up
Medium,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
Medium,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,Low,Low,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,Low,Low,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,Low,Low,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Medium,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,VeryLow,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryHigh,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
High,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
High,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
VeryLow,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
High,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,High,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Low,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryHigh,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
High,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,VeryLow,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
Medium,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Medium,VeryLow,VeryLow,VeryHigh,VeryHigh,Up
VeryLow,Low,VeryHigh,0,VeryHigh,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryHigh,VeryHigh,Down
